District,Municipality,Administrative Unit,PS,PD,Other Parties,Invalid Ballots,Eligible Voters,Total Eligible Votes,Total Votes,Turnout
Berat,Berat,Berat,11312,7214,2255,1159,52154,20781,21940,30214
Berat,Berat,Otllak,2673,1726,638,347,12029,5037,5384,6645
Berat,Berat,Roshnik,830,311,84,114,2857,1225,1339,1518
Berat,Berat,Sinje,1041,516,253,165,3908,1810,1975,1933
Berat,Berat,Velabisht,2446,1100,525,413,9397,4071,4484,4913
Berat,Kucove,Kozare,1441,1198,275,222,6465,2914,3136,3329
Berat,Kucove,Kucove,4728,2517,900,449,24378,8145,8594,15784
Berat,Kucove,Lumas,1145,641,213,118,5372,1999,2117,3255
Berat,Kucove,Perondi,2085,1002,576,263,8688,3663,3926,4762
Berat,Polican,Polican,1720,344,591,151,6179,2655,2806,3373
Berat,Polican,Terpan,449,107,144,46,1692,700,746,946
Berat,Polican,Vertop,1702,594,217,160,5309,2513,2673,2636
Berat,Skrapar,Bogove,201,119,149,39,1237,469,508,729
Berat,Skrapar,Cepan,157,45,174,19,758,376,395,363
Berat,Skrapar,Corovode,1281,282,889,152,4701,2452,2604,2097
Berat,Skrapar,Gjerbes,186,65,83,25,814,334,359,455
Berat,Skrapar,Leshnje,172,20,96,11,516,288,299,217
Berat,Skrapar,Potom,358,26,101,18,793,485,503,290
Berat,Skrapar,Qender-Skrapar,780,165,526,110,3096,1471,1581,1515
Berat,Skrapar,Vendresh,262,38,187,29,939,487,516,423
Berat,Skrapar,Zhepe,150,16,102,24,720,268,292,428
Berat,Ura Vajgurore,Cukalat,703,634,112,139,3237,1449,1588,1649
Berat,Ura Vajgurore,Kutalli,2478,1738,483,441,10339,4699,5140,5199
Berat,Ura Vajgurore,Poshnje,1812,1446,332,322,8220,3590,3912,4308
Berat,Ura Vajgurore,Ura Vajgurore,2243,1174,339,356,9321,3756,4112,5209
Diber,Bulqize,Bulqize,1861,1439,1051,476,9158,4351,4827,4331
Diber,Bulqize,Fushe Bulqize,605,528,405,193,2992,1538,1731,1261
Diber,Bulqize,Gjorice,839,756,138,160,3946,1733,1893,2053
Diber,Bulqize,Martanesh,420,205,91,63,1660,716,779,881
Diber,Bulqize,Ostren,604,572,55,89,2371,1231,1320,1051
Diber,Bulqize,Shupenze,1154,936,259,187,5019,2349,2536,2483
Diber,Bulqize,Trebisht,261,123,13,13,772,397,410,362
Diber,Bulqize,Zerqan,679,819,233,181,3667,1731,1912,1755
Diber,Diber,Arras,508,629,77,55,2539,1214,1269,1270
Diber,Diber,Fushe Cidhen,307,655,151,85,2590,1113,1198,1392
Diber,Diber,Fushe Muhur,448,484,155,76,2427,1087,1163,1264
Diber,Diber,Kala e Dodes,198,357,20,16,1695,575,591,1104
Diber,Diber,Kastriot,1028,1242,436,225,5466,2706,2931,2535
Diber,Diber,Lure,158,282,13,37,898,453,490,408
Diber,Diber,Luzni,390,532,72,91,2046,994,1085,961
Diber,Diber,Maqellare,2185,2103,524,297,10269,4812,5109,5160
Diber,Diber,Melan,682,822,120,105,3166,1624,1729,1437
Diber,Diber,Peshkopi,3154,3814,801,495,14539,7769,8264,6275
Diber,Diber,Selishte,223,284,47,20,1174,554,574,600
Diber,Diber,Sllove,520,525,74,58,2109,1119,1177,932
Diber,Diber,Tomin,1293,1700,318,239,6294,3311,3550,2744
Diber,Diber,Zall Dardhe,195,178,22,8,786,395,403,383
Diber,Diber,Zall Rec,170,140,15,7,624,325,332,292
Diber,Klos,Gurre,654,851,78,99,2902,1583,1682,1220
Diber,Klos,Klos (DI),1889,1771,310,368,7911,3970,4338,3573
Diber,Klos,Suc,569,623,60,100,2571,1252,1352,1219
Diber,Klos,Xiber,590,493,64,77,2218,1147,1224,994
Diber,Mat,Baz,446,605,117,58,2327,1168,1226,1101
Diber,Mat,Burrel,3478,2438,483,323,13354,6399,6722,6632
Diber,Mat,Derjan,217,226,35,41,992,478,519,473
Diber,Mat,Komsi,922,906,93,149,3933,1921,2070,1863
Diber,Mat,Lis,962,706,61,143,3606,1729,1872,1734
Diber,Mat,Macukull,258,350,11,40,1284,619,659,625
Diber,Mat,Rukaj,499,649,69,81,2517,1217,1298,1219
Diber,Mat,Ulez,376,277,64,31,1403,717,748,655
Durres,Durres,Ishem,1350,1029,274,146,6878,2653,2799,4079
